Date,DXY
,DX-Y.NYB
2023-01-03,104.5199966430664
2023-01-04,104.25
2023-01-05,105.04000091552734
2023-01-06,103.87999725341797
2023-01-09,103.0
2023-01-10,103.23999786376953
2023-01-11,103.19000244140625
2023-01-12,102.25
2023-01-13,102.19999694824219
2023-01-17,102.38999938964844
2023-01-18,102.36000061035156
2023-01-19,102.05999755859375
2023-01-20,102.01000213623047
2023-01-23,102.13999938964844
2023-01-24,101.91999816894531
2023-01-25,101.63999938964844
2023-01-26,101.83999633789062
2023-01-27,101.93000030517578
2023-01-30,102.27999877929688
2023-01-31,102.0999984741211
2023-02-01,101.22000122070312
2023-02-02,101.75
2023-02-03,102.91999816894531
2023-02-06,103.62000274658203
2023-02-07,103.43000030517578
2023-02-08,103.41000366210938
2023-02-09,103.22000122070312
2023-02-10,103.62999725341797
2023-02-13,103.3499984741211
2023-02-14,103.2300033569336
2023-02-15,103.91999816894531
2023-02-16,103.86000061035156
2023-02-17,103.86000061035156
2023-02-21,104.18000030517578
2023-02-22,104.58999633789062
2023-02-23,104.5999984741211
2023-02-24,105.20999908447266
2023-02-27,104.66999816894531
2023-02-28,104.87000274658203
2023-03-01,104.4800033569336
2023-03-02,105.02999877929688
2023-03-03,104.5199966430664
2023-03-06,104.3499984741211
2023-03-07,105.62000274658203
2023-03-08,105.66000366210938
2023-03-09,105.30999755859375
2023-03-10,104.58000183105469
2023-03-13,103.5999984741211
2023-03-14,103.5999984741211
2023-03-15,104.6500015258789
2023-03-16,104.41999816894531
2023-03-17,103.70999908447266
2023-03-20,103.27999877929688
2023-03-21,103.26000213623047
2023-03-22,102.3499984741211
2023-03-23,102.52999877929688
2023-03-24,103.12000274658203
2023-03-27,102.86000061035156
2023-03-28,102.43000030517578
2023-03-29,102.63999938964844
2023-03-30,102.13999938964844
2023-03-31,102.51000213623047
2023-04-03,102.08999633789062
2023-04-04,101.58999633789062
2023-04-05,101.8499984741211
2023-04-06,101.81999969482422
2023-04-10,102.58000183105469
2023-04-11,102.19999694824219
2023-04-12,101.5
2023-04-13,101.01000213623047
2023-04-14,101.55000305175781
2023-04-17,102.0999984741211
2023-04-18,101.75
2023-04-19,101.97000122070312
2023-04-20,101.83999633789062
2023-04-21,101.81999969482422
2023-04-24,101.3499984741211
2023-04-25,101.86000061035156
2023-04-26,101.47000122070312
2023-04-27,101.5
2023-04-28,101.66999816894531
2023-05-01,102.1500015258789
2023-05-02,101.95999908447266
2023-05-03,101.33999633789062
2023-05-04,101.4000015258789
2023-05-05,101.20999908447266
2023-05-08,101.37000274658203
2023-05-09,101.61000061035156
2023-05-10,101.4800033569336
2023-05-11,102.05999755859375
2023-05-12,102.68000030517578
2023-05-15,102.43000030517578
2023-05-16,102.55999755859375
2023-05-17,102.87999725341797
2023-05-18,103.58000183105469
2023-05-19,103.19999694824219
2023-05-22,103.19999694824219
2023-05-23,103.48999786376953
2023-05-24,103.88999938964844
2023-05-25,104.20999908447266
2023-05-26,104.20999908447266
2023-05-30,104.16999816894531
2023-05-31,104.31999969482422
2023-06-01,103.55999755859375
2023-06-02,104.0199966430664
2023-06-05,104.0
2023-06-06,104.12999725341797
2023-06-07,104.0999984741211
2023-06-08,103.33999633789062
2023-06-09,103.55999755859375
2023-06-12,103.62999725341797
2023-06-13,103.33999633789062
2023-06-14,103.01000213623047
2023-06-15,102.12000274658203
2023-06-16,102.30000305175781
2023-06-20,102.54000091552734
2023-06-21,102.06999969482422
2023-06-22,102.38999938964844
2023-06-23,102.9000015258789
2023-06-26,102.69000244140625
2023-06-27,102.48999786376953
2023-06-28,102.91000366210938
2023-06-29,103.33999633789062
2023-06-30,102.91000366210938
2023-07-03,102.98999786376953
2023-07-05,103.37000274658203
2023-07-06,103.16999816894531
2023-07-07,102.2699966430664
2023-07-10,101.97000122070312
2023-07-11,101.7300033569336
2023-07-12,100.5199966430664
2023-07-13,99.7699966430664
2023-07-14,99.91000366210938
2023-07-17,99.83999633789062
2023-07-18,99.94000244140625
2023-07-19,100.27999877929688
2023-07-20,100.87999725341797
2023-07-21,101.06999969482422
2023-07-24,101.3499984741211
2023-07-25,101.3499984741211
2023-07-26,100.88999938964844
2023-07-27,101.7699966430664
2023-07-28,101.62000274658203
2023-07-31,101.86000061035156
2023-08-01,102.30000305175781
2023-08-02,102.58999633789062
2023-08-03,102.54000091552734
2023-08-04,102.0199966430664
2023-08-07,102.05000305175781
2023-08-08,102.52999877929688
2023-08-09,102.48999786376953
2023-08-10,102.5199966430664
2023-08-11,102.83999633789062
2023-08-14,103.19000244140625
2023-08-15,103.20999908447266
2023-08-16,103.41999816894531
2023-08-17,103.44000244140625
2023-08-18,103.37999725341797
2023-08-21,103.33000183105469
2023-08-22,103.55999755859375
2023-08-23,103.36000061035156
2023-08-24,103.9800033569336
2023-08-25,104.08000183105469
2023-08-28,104.05999755859375
2023-08-29,103.55000305175781
2023-08-30,103.16000366210938
2023-08-31,103.62000274658203
2023-09-01,104.23999786376953
